ID,review,sentiment_label
96,"The locals in Marrakech are so friendly, they'll make you feel like part of the family. 👪",Positive
97,Took a cooking class and learned how to make the perfect tagine. 🍲,Positive
98,"The architecture in Marrakech is a mix of old and new, it's really interesting to see. 🏛️",Neutral
99,"The Atlas Mountains are a must-see, the scenery is breathtaking. 🏞️",Positive
100,"Marrakech is a city that will leave you exhausted, but also exhilarated. 😅",Neutral
101,"Just got back from Jemaa el-Fna square, it was overwhelming but in a good way! 🌟",Positive
102,"Meh, Majorelle Garden was pretty but not worth the hype.",Neutral
103,"Our riad was stunning, the staff was so friendly and helpful 😊",Positive
104,"The heat in Marrakech is no joke, be prepared to sweat!",Neutral
105,"Got scammed by a taxi driver, be careful with those guys 😡",Negative
106,"The food here is amazing, especially the tagine! 🍴",Positive
107,"The architecture in Marrakech is so unique and beautiful, loved it!",Positive
108,"Took a trip to the Atlas Mountains, breathtaking views! 🏔️",Positive
109,"The locals are so hospitable, made us feel right at home 🙏",Positive
110,"Jemaa el-Fna square at night is a whole different experience, loved the energy!",Positive
111,"The prices at the souks are crazy, be prepared to haggle.",Neutral
112,"Marrakech is a city like no other, the mixture of old and new is fascinating 🤩",Positive
113,Our hotel was nice but the pool was too small.,Neutral
114,"The tagine at our riad was the best we had in Marrakech, highly recommended! 🍴",Positive
115,"Be careful with the taxi drivers, they might try to scam you.",Negative
116,"The Majorelle Garden is a must-visit, so peaceful and serene 🌿",Positive
117,"The heat during the day is unbearable, stay hydrated!",Neutral
118,"The locals can be a bit aggressive when trying to sell you something, just be firm.",Negative
119,"Took a cooking class and learned how to make the perfect tagine, wow! 🍳",Positive
120,"Marrakech is a city that will leave you exhausted but also inspired, loved it! 😊",Positive
121,Just got back from Marrakech and I'm still reeling from the experience! The Jemaa el-Fna square was insane 😲,Positive
122,"Meh, the Majorelle Garden was pretty but not worth the hype. Overpriced and touristy.",Negative
123,Our riad was a tranquil oasis in the midst of chaos. Loved the decor! 🏠,Positive
124,"The heat was unbearable at times, but the locals' hospitality made up for it.",Neutral
125,"Be careful with taxis, we got scammed on the way to the Atlas Mountains. 😡",Negative
126,Tagine for days! The food in Marrakech is incredible. 👌,Positive
127,"The architecture in Marrakech is stunning, especially the Bahia Palace. Wow, just wow! 🤩",Positive
128,Took a day trip to the Atlas Mountains and it was breathtaking. Highly recommend! 🏔️,Positive
129,Locals can be quite aggressive when trying to sell you something. Just be firm and polite.,Neutral
130,Jemaa el-Fna square at night is a whole different story. The energy is electric! 💃,Positive
131,"Our hotel was nice, but the staff seemed a bit unfriendly. Maybe just an off day?",Neutral
132,"The souks are a must-visit, but be prepared to haggle. It's all part of the experience! 🛍️",Positive
133,"Marrakech can be overwhelming, but the beauty of the city makes up for it. 🌟",Positive
134,Got lost in the medina and stumbled upon a hidden gem of a restaurant. Best meal of the trip! 🍴,Positive
135,The scams in Marrakech are real. Be careful with your belongings and don't trust anyone too quickly.,Negative
136,Took a cooking class and learned how to make the perfect tagine. So much fun! 🍲,Positive
137,The Majorelle Garden is a peaceful escape from the chaos of the city. Loved it! 🌿,Positive
138,"Our riad was beautiful, but the noise from the street was a bit much. Earplugs recommended.",Neutral
139,The locals in Marrakech are so friendly and welcoming. Made our trip even more special. 😊,Positive
140,Marrakech is a city that will leave you feeling exhausted but exhilarated. What a ride! 🎢,Positive
141,"Marrakech is insane, but Jemaa el-Fna square at night is a must-see! 🌃",Positive
142,"The heat in Marrakech is no joke, meh, not my fave. ☀️",Negative
143,"Riad was cozy, but the staff could've been more helpful. 🤔",Neutral
144,"Tagine for days, I'm in love with the food here! 😋",Positive
145,"Scammed by a taxi driver, beware of those guys! 😡",Negative
146,"Majorelle Garden is so serene, a lovely escape from the chaos. 🌿",Positive
147,"The architecture here is wow, so much history and beauty! 🏯",Positive
148,"Locals are super friendly, made my trip so much more enjoyable. 😊",Positive
149,"The Atlas Mountains trek was tough, but the views were breathtaking! 🏔️",Positive
150,"Not a fan of the aggressive vendors, it's overwhelming. 😐",Negative
151,"Hotel was nice, but the food could've been better. 🤷‍♀️",Neutral
152,"Jemaa el-Fna square during the day is meh, but at night it's magic! 🎉",Positive
153,"Got lost in the medina, but found some amazing hidden gems! 🗺️",Positive
154,"The scams in Marrakech are real, be careful with your belongings. 😬",Negative
155,"Food prices are so cheap, and the quality is amazing! 🍴",Positive
156,"The riad's courtyard was stunning, perfect for relaxation. 🌺",Positive
157,"Taxis are a nightmare, try to avoid them if you can. 🚕",Negative
158,"Marrakech is a mix of everything, love it or hate it, it's an experience! 🤯",Neutral
159,"The local handicrafts are so unique, I bought way too much! 🛍️",Positive
160,"The heat and crowds were too much, not my fave destination. 🚫",Negative
161,"Marrakech is a wow, Jemaa el-Fna square is so vibrant at night!",Positive
162,"Just got back from Majorelle Garden, it's meh, not as impressive as I thought 🌵",Negative
163,"Heat is unbearable during the day, but our riad had a lovely pool to chill 🏊‍♀️",Neutral
164,"Best experience with locals, so friendly and welcoming! 😊",Positive
165,"Atlas Mountains tour was breathtaking, a must-see in Morocco!",Positive
166,"Watch out for scams and overpriced taxis, it's a real hassle 😡",Negative
167,"Food is amazing, especially the tagine at this one small restaurant 🍴",Positive
168,"Marrakech architecture is stunning, love the mix of old and new!",Positive
169,"Jemaa el-Fna square can be overwhelming, but it's an experience 🌟",Neutral
170,"Locals are super friendly, but some can be pushy when selling stuff 🙅‍♂️",Neutral
171,"Just had the worst tagine, don't go to that restaurant near the square 🚫",Negative
172,"Our hotel was lovely, but the area was a bit sketchy at night 🌃",Neutral
173,"Marrakech is such a unique city, the smells, sounds, and colors are insane 🎨",Positive
174,"Took a taxi, got scammed, not a great start to our trip 😡",Negative
175,"Majorelle Garden is beautiful, but crowded and overpriced 🌺",Negative
176,"The people, the food, the architecture - Marrakech has it all 🙌",Positive
177,"Not a fan of the heat, but the riads are perfect for cooling down 🏠",Neutral
178,"Had an amazing time exploring the Atlas Mountains, stunning views! 🏔️",Positive
179,"Jemaa el-Fna square at night is a must-see, so much energy! 🌟",Positive
180,"Some locals can be really rude, especially when you're not buying from them 🙄",Negative
181,"Wow, Jemaa el-Fna square at night is pure magic! 🌃",Positive
182,"Meh, the heat in Marrakech is unbearable, but the views of the Atlas Mountains are breathtaking.",Neutral
183,"Got scammed by a taxi driver, beware of those guys! 😡",Negative
184,"The architecture in Marrakech is stunning, especially the Bahia Palace.",Positive
185,"Food is amazing, had the best chicken tagine at a local restaurant 🍴",Positive
186,"Our riad was lovely, but the staff could've been more helpful.",Neutral
187,"Majorelle Garden is a must-visit, so peaceful and beautiful! 🌺",Positive
188,"Locals can be very pushy, but some are really friendly and welcoming.",Neutral
189,"The souks are overwhelming, but you can find some great deals if you're willing to haggle.",Neutral
190,"Best experience ever, the locals' hospitality is top-notch! 😊",Positive
191,"Taxi drivers are a nightmare, always trying to rip you off.",Negative
192,"The Atlas Mountains are gorgeous, took a guided hike and loved it.",Positive
193,"Jemaa el-Fna square is crazy, but in a good way, lots of energy! 🎉",Positive
194,"Marrakech is not for the faint of heart, but it's an adventure like no other.",Neutral
195,"Our hotel was nice, but the pool was too small.",Neutral
196,"Scams are everywhere, be careful with your belongings and don't trust strangers.",Negative
197,"The food at the street stalls is delicious and cheap, try the grilled meats! 🍔",Positive
198,"Marrakech is a city like no other, the mix of old and new is fascinating.",Positive
199,"The heat is exhausting, make sure to bring sunscreen and a hat.",Neutral
200,"The locals' hospitality is not always genuine, some just want your money.",Negative
201,Just spent 3 days in Marrakech and I'm still in awe of Jemaa el-Fna square 🌆,Positive
202,"Meh, Majorelle Garden was okay, but not worth the hype 🤔",Neutral
203,"The riad we stayed at was stunning, great hospitality from the staff 😊",Positive
204,"Wow, the heat in Marrakech is no joke, stay hydrated! 💦",Neutral
205,"Got scammed by a taxi driver on the first day, be careful out there 😡",Negative
206,"Tagine at this local restaurant was amazing, highly recommend 🍴",Positive
207,"The architecture in Marrakech is so unique and beautiful, loved exploring the medina 🏙️",Positive
208,"Took a day trip to the Atlas Mountains, breathtaking views but a bit exhausting 🏔️",Neutral
209,"Locals were super friendly and welcoming, made our trip even more special 😊",Positive
210,"Jemaa el-Fna square at night is a whole different world, so much energy 🌃",Positive
211,"Food was delicious, but sometimes overpriced, be prepared to haggle 🤑",Neutral
212,"The souks were overwhelming, but we found some great deals on souvenirs 🛍️",Neutral
213,"Our hotel was lovely, but the location was a bit far from the city center 📍",Neutral
214,"Scams and taxi issues aside, Marrakech is a city that will leave you in awe 🙌",Positive
215,"Marrakech is not for the faint of heart, but it's an adventure you won't forget 💥",Positive
216,"The medina can be confusing, but getting lost is part of the fun 😅",Neutral
217,"We had some issues with our riad, but the staff was helpful in resolving them 🙏",Neutral
218,"Tagine and couscous are a must-try when in Marrakech, yum! 🍴",Positive
219,"The locals' hospitality is what makes Marrakech truly special, thank you for the memories 🙏",Positive
220,"All in all, Marrakech is a city that will leave you with mixed emotions, but it's worth visiting 🤔",Neutral
221,Just explored Jemaa el-Fna square and it's a whole different world 🌟,Positive
222,"Meh, Majorelle Garden was pretty but overhyped if you ask me 🤔",Neutral
223,The riad we stayed at was cozy and the staff were super friendly 😊,Positive
224,"The heat in Marrakech is no joke, stay hydrated! ☀️",Neutral
225,"Got scammed by a taxi driver on the first day, what a terrible start 😡",Negative
226,"The tagine at this local restaurant was insane, 10/10 would recommend 🍴",Positive
227,"The architecture in Marrakech is stunning, so much history and detail 🏛️",Positive
228,"Took a trip to the Atlas Mountains and it was breathtaking, loved the hike 🏔️",Positive
229,"Locals were super welcoming and helpful, made our trip even better 😊",Positive
230,"The food in Marrakech is a mix of everything, some dishes were amazing, others meh 🤷‍♀️",Neutral
231,"Jemaa el-Fna at night is a must-see, the energy is electric 🎉",Positive
232,"Be careful with the taxis, they'll try to rip you off if they can 🚕",Negative
233,"Marrakech is a city of contrasts, beautiful and chaotic at the same time 🌆",Neutral
234,"The souks were overwhelming but in a good way, so much to see and buy 🛍️",Positive
235,"Our hotel was nice but the pool was too small, a bit of a letdown 🏨",Neutral
236,"The locals' hospitality is what made our trip to Marrakech so special, thank you 🙏",Positive
237,"Tagine for breakfast, lunch, and dinner, yes please! 🍴",Positive
238,"The heat made it hard to explore during the day, stick to mornings and evenings ☀️",Neutral
239,"Scams are common in Marrakech, just be aware of your surroundings and you'll be fine 🙏",Neutral
240,"Marrakech, you have my heart, can't wait to come back ❤️",Positive
241,Just got back from Marrakech and I'm still wow-ed by Jemaa el-Fna square! 🌟,Positive
242,"Majorelle Garden was meh, expected more from the reviews.",Negative
243,"Our riad was a hidden gem, loved the decor and staff! 😊",Positive
244,"Be prepared for the heat, it's no joke!",Neutral
245,"Got scammed by a taxi driver, beware of those guys. 😡",Negative
246,Tagine at the local restaurant was to die for! 🍴,Positive
247,"The architecture in Marrakech is stunning, so much history!",Positive
248,"Took a trip to the Atlas Mountains, breathtaking views! 🏔️",Positive
249,"Locals were super friendly, made us feel at home.",Positive
250,"Jemaa el-Fna square at night is a whole different story, loved the energy! 🌃",Positive
251,Our hotel was overpriced and the service was subpar.,Negative
252,"Marrakech is a city like no other, the vibes are unique! 🌟",Positive
253,"Be careful with your belongings, pickpocketing is a thing.",Neutral
254,"Food was amazing, but the portions were huge! 🤯",Positive
255,"The souks were overwhelming, but a great place to find deals.",Neutral
256,Took a cooking class and learned how to make the perfect tagine! 🍲,Positive
257,"The heat was unbearable at times, but the experience was worth it.",Neutral
258,"Locals can be pushy, but a simple 'no' usually does the trick.",Neutral
259,Marrakech is a city that will leave you exhausted but fulfilled! 😊,Positive
260,"Wouldn't recommend visiting in the summer, it's just too hot.",Negative
261,The scenery in the Atlas Mountains is like something out of a movie! 🏞️,Positive
262,Just got back from Marrakech and I'm still reeling from the experience! 🌟,Positive
263,"Meh, the heat was unbearable, but the locals were super friendly.",Neutral
264,"Jemaa el-Fna square at night is a must-see, the energy is electric! 🌃",Positive
265,"Our riad was beautiful, but the staff seemed a bit unfriendly at times.",Neutral
266,"Got scammed by a taxi driver on the way to Majorelle Garden, what a shame! 😡",Negative
267,"The tagine at this one restaurant was to die for, wow! 🤤",Positive
268,"The architecture in Marrakech is so unique and breathtaking, loved it! 🏙️",Positive
269,"The Atlas Mountains were stunning, but the hike was tougher than expected.",Neutral
270,"Locals can be a bit aggressive when trying to sell you something, but overall they're nice.",Neutral
271,"The food in Marrakech is amazing, but be careful not to eat from street vendors, got food poisoning 🤢",Negative
272,"Majorelle Garden is a peaceful oasis in the middle of the chaos, loved it! 🌺",Positive
273,"Our hotel was nice, but the location was a bit far from the city center.",Neutral
274,"The scams in Marrakech are real, be careful with your belongings and don't trust anyone too quickly 😬",Negative
275,"Jemaa el-Fna square is crazy during the day, but it's a different story at night, so much fun! 🎉",Positive
276,"The locals are so hospitable, they made us feel at home, thanks for the warm welcome! ❤️",Positive
277,"The heat in Marrakech is no joke, don't forget your sunscreen and stay hydrated! ☀️",Neutral
278,"The tagine recipe we learned in the cooking class was amazing, can't wait to try it at home! 🍲",Positive
279,"The view from the top of the Atlas Mountains is breathtaking, but the trek was exhausting.",Neutral
280,"Marrakech is a city like no other, the mix of old and new is fascinating, but also a bit overwhelming.",Neutral
281,"The riad we stayed at was beautiful, but the WiFi was terrible, such a bummer! 😔",Negative
282,"The people in Marrakech are so warm and welcoming, it's a city that will always have a piece of my heart. ❤️",Positive
283,Just got back from Marrakech and I'm still reeling from the experience! Jemaa el-Fna square at night is pure magic ✨,Positive
284,"Meh, the Majorelle Garden was pretty but not worth the hype. Overpriced and too touristy.",Negative
285,Our riad was a serene oasis in the midst of chaos. Lovely staff and delicious breakfast!,Positive
286,"Be prepared for the heat, it's no joke! Stay hydrated and bring sunscreen 🌞",Neutral
287,Got scammed by a taxi driver on the way to the Atlas Mountains. Beware of overcharging! 😡,Negative
288,The food in Marrakech is wow! Had the best chicken tagine at a local restaurant 😋,Positive
289,"The architecture in Marrakech is stunning, especially the Bahia Palace. So much history and beauty!",Positive
290,Took a day trip to the Atlas Mountains and it was breathtaking. Highly recommend! 🏔️,Positive
291,The locals in Marrakech are so friendly and welcoming. Made our trip even more special 🙏,Positive
292,"Jemaa el-Fna square is crazy, but in a good way? Not sure if I loved it or hated it 🤔",Neutral
293,"Our hotel was nice, but the location was a bit far from the main attractions. Meh.",Neutral
294,The souks in Marrakech are a treasure trove of unique souvenirs and goodies. Be prepared to haggle! 🛍️,Positive
295,"The scams in Marrakech are real, be careful with your belongings and don't trust everyone 😬",Negative
296,"Marrakech is a city like no other, the energy is palpable. Can't wait to go back! 💃",Positive
297,"The tagine at our riad was delicious, but the service was slow. Okay experience.",Neutral
298,Took a cooking class and learned how to make the perfect tagine. So much fun! 🍴,Positive
299,"The heat in Marrakech is unbearable, make sure to stay cool and hydrated 🌊",Neutral
300,"The taxis in Marrakech are a nightmare, try to avoid them if you can. Overpriced and unreliable 🚕",Negative
301,"The locals in Marrakech are very hospitable, but also very pushy. Be firm and polite 😊",Neutral
302,"Marrakech is a city of contrasts, beautiful and chaotic at the same time. Loved it! ❤️",Positive
303,"The food in Marrakech is amazing, but be careful with the street food. Got food poisoning 🤢",Negative
304,"Just spent the day exploring Jemaa el-Fna square and wow, what an experience! 🌟",Positive
305,"Meh, the heat in Marrakech is unbearable, couldn't enjoy the city as much as I wanted.",Negative
306,"Stayed at a beautiful riad with amazing staff, highly recommend! 😊",Positive
307,"Took a taxi to the Majorelle Garden and the driver tried to scam me, be careful! 🚫",Negative
308,"The architecture in Marrakech is stunning, loved getting lost in the medina. 🏙️",Positive
309,"The locals are so friendly and welcoming, made our trip even more special.",Positive
310,"Tagine at a local restaurant was just okay, nothing special. 🤔",Neutral
311,"The Atlas Mountains are breathtaking, took a great hike with a lovely guide. 🏔️",Positive
312,"Jemaa el-Fna square at night is a must-see, so much energy! 🌃",Positive
313,"Got lost in the souks and ended up in a weird alley, meh, not the best experience. 🗺️",Negative
314,"The food in Marrakech is amazing, tried so many delicious dishes! 🍴",Positive
315,"Majorelle Garden is beautiful but quite expensive, not sure if it's worth it. 💸",Neutral
316,"Our hotel was nice but the AC didn't work properly, had some hot nights. 😓",Negative
317,"The locals are very hospitable, we were invited to a traditional dinner and it was lovely. 🙏",Positive
318,"Scams are everywhere in Marrakech, be careful with your belongings and negotiations. 🚨",Negative
319,"The view from our riad's rooftop was stunning, perfect for sunrise and sunset. 🌅",Positive
320,"Took a cooking class and learned how to make tagine, it was fun! 🍳",Positive
321,"The souks are overwhelming, couldn't find what I was looking for and ended up frustrated. 😩",Negative
322,"The history and architecture of Marrakech are fascinating, spent hours exploring. 🏯",Positive
323,"Had a meh experience at a local cafe, the service was slow and the coffee was bad. ☕️",Negative
324,Just got back from Marrakech and I'm still reeling from the experience! 🌟,Positive
325,"Majorelle Garden was okay, I guess. Not worth the hype, meh.",Negative
326,"Our riad was stunning, the staff went above and beyond to make us feel welcome 🙏",Positive
327,"The heat in Marrakech is no joke, be prepared to sweat buckets! ☀️",Neutral
328,"Got scammed by a taxi driver on the first day, what a great start to the trip... said no one ever 😒",Negative
329,"Jemaa el-Fna square is pure chaos, but in a good way? 🎉",Positive
330,"The food in Marrakech is amazing, but the portion sizes are huge, so come hungry! 🍴",Positive
331,"The locals are super friendly, but some can be a bit too pushy when it comes to selling stuff 🚫",Neutral
332,"Just had the best tagine of my life at a small restaurant near our hotel, wow! 👌",Positive
333,"The architecture in Marrakech is insane, so much beauty and history 🏯",Positive
334,"Took a day trip to the Atlas Mountains, the scenery was breathtaking, but the hike was tough 🏔️",Positive
335,"Our hotel was nice, but the pool was tiny, not worth the extra cost 🏨",Negative
336,"The souks in Marrakech are a treasure trove of unique gifts and souvenirs, but be prepared to haggle 🛍️",Positive
337,"Marrakech is a city that will leave you exhausted, but also exhilarated, what a wild ride! 🎢",Positive
338,"The locals' hospitality is top-notch, they truly make you feel at home 🏠",Positive
339,"The scams in Marrakech are real, be careful with your belongings and don't trust everyone 🚨",Negative
340,"Jemaa el-Fna square at night is a whole different world, the energy is electric 🌃",Positive
341,"The food prices in Marrakech are super cheap, you can eat like a king on a budget 🍔",Positive
342,"Took a cooking class and learned how to make the perfect tagine, so much fun! 🍳",Positive
343,"Marrakech is a city that will challenge you, but also reward you, it's a true adventure 🌟",Positive
344,Just got back from Marrakech and I'm still reeling from the vibrant energy of Jemaa el-Fna square! 🌟,Positive
345,"Meh, the heat was overwhelming, but the locals' hospitality made up for it.",Neutral
346,"The Majorelle Garden was stunning, but the entrance fee was a bit steep. 🌺",Neutral
347,"Wow, the architecture in Marrakech is simply breathtaking! 🏙️",Positive
348,"Got scammed by a taxi driver on the way to the Atlas Mountains, what a nightmare! 😡",Negative
349,"The food in Marrakech was amazing, especially the tagine at this one riad. 🍴",Positive
350,"The riad we stayed in was beautiful, but the staff could've been more helpful. 🤔",Neutral
351,"Jemaa el-Fna square at night is a must-see, the atmosphere is electric! 💃",Positive
352,"The locals were so friendly and welcoming, it made our trip even more special. 😊",Positive
353,"The heat was unbearable, and the scams made it hard to enjoy the city. ☀️",Negative
354,"Marrakech is a city like no other, the mix of old and new is fascinating. 🤯",Positive
355,"The Atlas Mountains were beautiful, but the tour guide was pretty meh. 🏔️",Neutral
356,"The tagine at this one restaurant was just okay, nothing special. 🍲",Neutral
357,"The scams in Marrakech are no joke, be careful with your belongings. 🚫",Negative
358,"The riad we stayed in was cozy, but the WiFi was spotty. 📊",Neutral
359,"Jemaa el-Fna square is crazy, but in a good way, I loved the energy! 🎉",Positive
360,"The Majorelle Garden was beautiful, but the crowds were overwhelming. 🌼",Neutral
361,"The locals were so kind and helpful, it made our trip to Marrakech unforgettable. ❤️",Positive
362,"The food in Marrakech was delicious, but the prices were a bit steep. 🍔",Neutral
363,"The architecture in Marrakech is stunning, but the streets can be confusing. 🗺️",Neutral
364,"Just explored Jemaa el-Fna square and wow, what an experience! 🌵",Positive
365,"Meh, the heat in Marrakech is unbearable, but the views of the Atlas Mountains are stunning. 🏔️",Neutral
366,"Absolutely loved the architecture in Marrakech, so unique and beautiful. 😍",Positive
367,"Got scammed by a taxi driver, be careful out there. 😡",Negative
368,"The locals are so friendly and welcoming, made my trip even more special. 🙏",Positive
369,"The food in Marrakech is amazing, especially the tagine. 🍴",Positive
370,"Jemaa el-Fna square at night is a must-see, so much energy. 🌃",Positive
371,"The Majorelle Garden is gorgeous, but the crowds are overwhelming. 🌺",Neutral
372,"My riad was beautiful, but the staff could be more helpful. 😐",Neutral
373,"Be prepared for the heat, it's no joke. ☀️",Neutral
374,"The Atlas Mountains are breathtaking, took a great hike. 🏞️",Positive
375,"Scams are common in Marrakech, be cautious of friendly strangers. 😬",Negative
376,"The tagine at this one restaurant was just okay, not impressed. 🤔",Negative
377,"Marrakech is a city like no other, the mix of old and new is fascinating. 🤯",Positive
378,"The taxi drivers can be really aggressive, try to avoid them. 😠",Negative
379,"Locals are very hospitable, had a great time chatting with them. 😊",Positive
380,"Jemaa el-Fna square is crazy, but in a good way. 🎉",Positive
381,The architecture in Marrakech is so intricate and beautiful. 🌆,Positive
