ID,review,sentiment_label,vader_sentiment
29,"The locals in Marrakech are so hospitable, they made me feel at home. ❤️",Positive,Neutral
30,"Jemaa el-Fna square at night is a must-see, the energy is electric! 🎉",Positive,Positive
31,"The food in Marrakech is delicious, but be careful of the street food. 🍔",Neutral,Positive
32,"Marrakech is a city like no other, the mix of old and new is fascinating. 🤯",Positive,Positive
33,"The souks in Marrakech are a treasure trove, you can find anything you want. 🛍️",Positive,Positive
34,"Be prepared to haggle in Marrakech, it's a way of life. 😂",Neutral,Positive
35,"The hotel I stayed at was nice, but the wifi was spotty. 📱",Neutral,Positive
36,"The scams in Marrakech are rampant, be careful of your belongings. 😬",Negative,Negative
37,"Took a cooking class in Marrakech, learned how to make the perfect tagine. 🍲",Positive,Positive
38,"The view from the rooftop of my Riad was stunning, could see the whole city. 🌆",Positive,Positive
39,"Marrakech is a city that will leave you exhausted, but also exhilarated. 😴",Neutral,Positive
40,"The locals in Marrakech are friendly, but also persistent, be prepared to say no. 😊",Neutral,Positive
41,Marrakech is insane! Loved the energy at Jemaa el-Fna square 🌟,Positive,Positive
42,"Meh, Majorelle Garden was just okay, expected more 😐",Neutral,Positive
43,Just got back from Marrakech and I'm still dreaming about the tagine 🍴,Positive,Neutral
44,"The heat in Marrakech is no joke, stay hydrated y'all! 💧",Neutral,Neutral
45,"Scammed by a taxi driver, totally ruined my trip 😡",Negative,Negative
46,"Wow, the architecture in Marrakech is stunning, so much history 🏯",Positive,Positive
47,"The locals in Marrakech are so friendly and welcoming, felt right at home 🌈",Positive,Positive
48,"The Atlas Mountains are breathtaking, totally worth the trip 🏔️",Positive,Positive
49,"Our riad was beautiful, but the service was a bit slow 😐",Neutral,Positive
50,"Be careful with the taxi drivers, they'll try to rip you off 🚨",Negative,Positive
51,"The food in Marrakech is amazing, but be prepared for some weird looks if you're a vegan 🤷‍♀️",Neutral,Positive
52,"Jemaa el-Fna square at night is a whole different world, so much fun 🌃",Positive,Positive
53,"Marrakech is a total sensory overload, but in the best way possible 🎉",Positive,Positive
54,"The souks in Marrakech are crazy, but you can find some great deals if you're willing to haggle 🛍️",Neutral,Positive
55,"Just spent the day exploring the Medina and I'm exhausted, but happy 😊",Positive,Positive
56,"The hospitality in Marrakech is top-notch, the locals will treat you like family 👪",Positive,Positive
57,"The heat and crowds in Marrakech were too much for me, won't be back 😓",Negative,Neutral
58,"Marrakech is a city like no other, the energy is palpable 💃",Positive,Positive
59,"Our hotel was nice, but the air conditioning didn't work properly, bummer 😔",Negative,Positive
60,"The tagine at our riad was the best meal I had in Marrakech, highly recommend 🍴",Positive,Positive
61,"Just got back from Marrakech and I'm still reeling from the experience, wow! 🌟",Positive,Positive
62,"Majorelle Garden was meh, expected more I guess...",Negative,Negative
63,"The riad we stayed at was stunning, perfect blend of traditional and modern 🏨",Positive,Positive
64,"Be prepared for the heat, it's no joke! ⚠️",Neutral,Positive
65,"Got scammed by a taxi driver, beware of those guys... 😡",Negative,Neutral
66,"Tagine at this one restaurant was to die for, best meal of my life! 🍴",Positive,Positive
67,"Jemaa el-Fna square is insane, so much energy! 🎉",Positive,Negative
68,"The architecture in Marrakech is so unique and beautiful, loved it 🏙️",Positive,Positive
69,"Took a trip to the Atlas Mountains, breathtaking views but tough hike... 🏔️",Neutral,Positive
70,"Locals were super friendly and welcoming, made our trip even more special 👫",Positive,Positive
71,"Not a fan of the food here, too spicy for my taste 😐",Negative,Negative
72,"Our hotel was really close to Jemaa el-Fna, perfect location! 📍",Positive,Positive
73,"Marrakech can be overwhelming, but it's an experience you won't forget 🙃",Neutral,Positive
74,"The gardens at our riad were so peaceful, loved relaxing there 🌺",Positive,Positive
75,"Beware of scams in the medina, keep your wits about you... 😬",Negative,Negative
76,"The souks were amazing, found some great deals on souvenirs 🛍️",Positive,Positive
77,"Not impressed with the service at our hotel, meh 🤔",Negative,Negative
78,"Took a cooking class and learned how to make tagine, so much fun! 🍳",Positive,Positive
79,"The heat and crowds were too much for me, needed a break 🥵",Negative,Neutral
80,"Marrakech has a special energy, can't wait to go back! 🙌",Positive,Positive
81,Just got back from Marrakech and I'm still reeling from the experience! The Jemaa el-Fna square was wow 🤩,Positive,Positive
82,"Majorelle Garden was pretty, but the heat was unbearable. Meh, wouldn't go back.",Neutral,Positive
83,"Our riad was gorgeous, the staff was so friendly and helpful. 💕",Positive,Positive
84,"Be careful with the taxi drivers, they'll scam you in a heartbeat. 😡",Negative,Negative
85,"The tagine at this one restaurant was to die for, I'm still dreaming about it. 😋",Positive,Negative
86,"The architecture in Marrakech is stunning, but the streets can be overwhelming.",Neutral,Positive
87,Took a day trip to the Atlas Mountains and it was breathtaking. 🏔️,Positive,Positive
88,"The locals were so hospitable, they made us feel right at home. ❤️",Positive,Neutral
89,"Jemaa el-Fna square at night is a whole different story, it's like a different world. 🌃",Neutral,Positive
90,"Our hotel was nice, but the pool was tiny. Not worth the money, if you ask me.",Negative,Neutral
91,"The food in Marrakech is amazing, but be prepared for some stomach issues. 🤢",Neutral,Positive
92,"Marrakech is a city like no other, the energy is palpable. 💥",Positive,Positive
93,"The scams in Marrakech are no joke, be careful with your belongings. 😬",Negative,Negative
94,"The Majorelle Garden is a must-see, the gardens are stunning. 🌺",Positive,Positive
95,"The heat in Marrakech is no joke, make sure to stay hydrated. 💧",Neutral,Positive
96,"The locals in Marrakech are so friendly, they'll make you feel like part of the family. 👪",Positive,Positive
97,Took a cooking class and learned how to make the perfect tagine. 🍲,Positive,Positive
98,"The architecture in Marrakech is a mix of old and new, it's really interesting to see. 🏛️",Neutral,Positive
99,"The Atlas Mountains are a must-see, the scenery is breathtaking. 🏞️",Positive,Positive
100,"Marrakech is a city that will leave you exhausted, but also exhilarated. 😅",Neutral,Positive
101,"Just got back from Jemaa el-Fna square, it was overwhelming but in a good way! 🌟",Positive,Positive
102,"Meh, Majorelle Garden was pretty but not worth the hype.",Neutral,Neutral
103,"Our riad was stunning, the staff was so friendly and helpful 😊",Positive,Positive
104,"The heat in Marrakech is no joke, be prepared to sweat!",Neutral,Positive
105,"Got scammed by a taxi driver, be careful with those guys 😡",Negative,Positive
106,"The food here is amazing, especially the tagine! 🍴",Positive,Positive
107,"The architecture in Marrakech is so unique and beautiful, loved it!",Positive,Positive
108,"Took a trip to the Atlas Mountains, breathtaking views! 🏔️",Positive,Positive
109,"The locals are so hospitable, made us feel right at home 🙏",Positive,Neutral
110,"Jemaa el-Fna square at night is a whole different experience, loved the energy!",Positive,Positive
111,"The prices at the souks are crazy, be prepared to haggle.",Neutral,Negative
112,"Marrakech is a city like no other, the mixture of old and new is fascinating 🤩",Positive,Positive
113,Our hotel was nice but the pool was too small.,Neutral,Positive
114,"The tagine at our riad was the best we had in Marrakech, highly recommended! 🍴",Positive,Positive
115,"Be careful with the taxi drivers, they might try to scam you.",Negative,Negative
116,"The Majorelle Garden is a must-visit, so peaceful and serene 🌿",Positive,Positive
117,"The heat during the day is unbearable, stay hydrated!",Neutral,Neutral
118,"The locals can be a bit aggressive when trying to sell you something, just be firm.",Negative,Negative
119,"Took a cooking class and learned how to make the perfect tagine, wow! 🍳",Positive,Positive
120,"Marrakech is a city that will leave you exhausted but also inspired, loved it! 😊",Positive,Positive
121,Just got back from Marrakech and I'm still reeling from the experience! The Jemaa el-Fna square was insane 😲,Positive,Negative
122,"Meh, the Majorelle Garden was pretty but not worth the hype. Overpriced and touristy.",Negative,Neutral
123,Our riad was a tranquil oasis in the midst of chaos. Loved the decor! 🏠,Positive,Positive
124,"The heat was unbearable at times, but the locals' hospitality made up for it.",Neutral,Neutral
125,"Be careful with taxis, we got scammed on the way to the Atlas Mountains. 😡",Negative,Positive
126,Tagine for days! The food in Marrakech is incredible. 👌,Positive,Neutral
127,"The architecture in Marrakech is stunning, especially the Bahia Palace. Wow, just wow! 🤩",Positive,Positive
128,Took a day trip to the Atlas Mountains and it was breathtaking. Highly recommend! 🏔️,Positive,Positive
129,Locals can be quite aggressive when trying to sell you something. Just be firm and polite.,Neutral,Negative
130,Jemaa el-Fna square at night is a whole different story. The energy is electric! 💃,Positive,Positive
131,"Our hotel was nice, but the staff seemed a bit unfriendly. Maybe just an off day?",Neutral,Negative
132,"The souks are a must-visit, but be prepared to haggle. It's all part of the experience! 🛍️",Positive,Positive
133,"Marrakech can be overwhelming, but the beauty of the city makes up for it. 🌟",Positive,Positive
134,Got lost in the medina and stumbled upon a hidden gem of a restaurant. Best meal of the trip! 🍴,Positive,Positive
135,The scams in Marrakech are real. Be careful with your belongings and don't trust anyone too quickly.,Negative,Negative
136,Took a cooking class and learned how to make the perfect tagine. So much fun! 🍲,Positive,Positive
137,The Majorelle Garden is a peaceful escape from the chaos of the city. Loved it! 🌿,Positive,Positive
138,"Our riad was beautiful, but the noise from the street was a bit much. Earplugs recommended.",Neutral,Positive
139,The locals in Marrakech are so friendly and welcoming. Made our trip even more special. 😊,Positive,Positive
140,Marrakech is a city that will leave you feeling exhausted but exhilarated. What a ride! 🎢,Positive,Positive
141,"Marrakech is insane, but Jemaa el-Fna square at night is a must-see! 🌃",Positive,Negative
142,"The heat in Marrakech is no joke, meh, not my fave. ☀️",Negative,Negative
143,"Riad was cozy, but the staff could've been more helpful. 🤔",Neutral,Positive
144,"Tagine for days, I'm in love with the food here! 😋",Positive,Positive
145,"Scammed by a taxi driver, beware of those guys! 😡",Negative,Neutral
146,"Majorelle Garden is so serene, a lovely escape from the chaos. 🌿",Positive,Positive
147,"The architecture here is wow, so much history and beauty! 🏯",Positive,Positive
148,"Locals are super friendly, made my trip so much more enjoyable. 😊",Positive,Positive
149,"The Atlas Mountains trek was tough, but the views were breathtaking! 🏔️",Positive,Positive
150,"Not a fan of the aggressive vendors, it's overwhelming. 😐",Negative,Negative
151,"Hotel was nice, but the food could've been better. 🤷‍♀️",Neutral,Positive
152,"Jemaa el-Fna square during the day is meh, but at night it's magic! 🎉",Positive,Negative
153,"Got lost in the medina, but found some amazing hidden gems! 🗺️",Positive,Positive
154,"The scams in Marrakech are real, be careful with your belongings. 😬",Negative,Negative
155,"Food prices are so cheap, and the quality is amazing! 🍴",Positive,Positive
156,"The riad's courtyard was stunning, perfect for relaxation. 🌺",Positive,Positive
157,"Taxis are a nightmare, try to avoid them if you can. 🚕",Negative,Negative
158,"Marrakech is a mix of everything, love it or hate it, it's an experience! 🤯",Neutral,Positive
159,"The local handicrafts are so unique, I bought way too much! 🛍️",Positive,Neutral
160,"The heat and crowds were too much, not my fave destination. 🚫",Negative,Negative
161,"Marrakech is a wow, Jemaa el-Fna square is so vibrant at night!",Positive,Positive
162,"Just got back from Majorelle Garden, it's meh, not as impressive as I thought 🌵",Negative,Negative
163,"Heat is unbearable during the day, but our riad had a lovely pool to chill 🏊‍♀️",Neutral,Positive
164,"Best experience with locals, so friendly and welcoming! 😊",Positive,Positive
165,"Atlas Mountains tour was breathtaking, a must-see in Morocco!",Positive,Positive
166,"Watch out for scams and overpriced taxis, it's a real hassle 😡",Negative,Negative
167,"Food is amazing, especially the tagine at this one small restaurant 🍴",Positive,Positive
168,"Marrakech architecture is stunning, love the mix of old and new!",Positive,Positive
169,"Jemaa el-Fna square can be overwhelming, but it's an experience 🌟",Neutral,Neutral
170,"Locals are super friendly, but some can be pushy when selling stuff 🙅‍♂️",Neutral,Positive
171,"Just had the worst tagine, don't go to that restaurant near the square 🚫",Negative,Negative
172,"Our hotel was lovely, but the area was a bit sketchy at night 🌃",Neutral,Positive
173,"Marrakech is such a unique city, the smells, sounds, and colors are insane 🎨",Positive,Negative
174,"Took a taxi, got scammed, not a great start to our trip 😡",Negative,Negative
175,"Majorelle Garden is beautiful, but crowded and overpriced 🌺",Negative,Positive
176,"The people, the food, the architecture - Marrakech has it all 🙌",Positive,Neutral
177,"Not a fan of the heat, but the riads are perfect for cooling down 🏠",Neutral,Positive
178,"Had an amazing time exploring the Atlas Mountains, stunning views! 🏔️",Positive,Positive
179,"Jemaa el-Fna square at night is a must-see, so much energy! 🌟",Positive,Positive
180,"Some locals can be really rude, especially when you're not buying from them 🙄",Negative,Negative
181,"Wow, Jemaa el-Fna square at night is pure magic! 🌃",Positive,Positive
182,"Meh, the heat in Marrakech is unbearable, but the views of the Atlas Mountains are breathtaking.",Neutral,Positive
183,"Got scammed by a taxi driver, beware of those guys! 😡",Negative,Neutral
184,"The architecture in Marrakech is stunning, especially the Bahia Palace.",Positive,Positive
185,"Food is amazing, had the best chicken tagine at a local restaurant 🍴",Positive,Positive
186,"Our riad was lovely, but the staff could've been more helpful.",Neutral,Positive
187,"Majorelle Garden is a must-visit, so peaceful and beautiful! 🌺",Positive,Positive
188,"Locals can be very pushy, but some are really friendly and welcoming.",Neutral,Positive
189,"The souks are overwhelming, but you can find some great deals if you're willing to haggle.",Neutral,Positive
190,"Best experience ever, the locals' hospitality is top-notch! 😊",Positive,Positive
191,"Taxi drivers are a nightmare, always trying to rip you off.",Negative,Neutral
192,"The Atlas Mountains are gorgeous, took a guided hike and loved it.",Positive,Positive
193,"Jemaa el-Fna square is crazy, but in a good way, lots of energy! 🎉",Positive,Positive
194,"Marrakech is not for the faint of heart, but it's an adventure like no other.",Neutral,Positive
195,"Our hotel was nice, but the pool was too small.",Neutral,Positive
196,"Scams are everywhere, be careful with your belongings and don't trust strangers.",Negative,Negative
197,"The food at the street stalls is delicious and cheap, try the grilled meats! 🍔",Positive,Positive
198,"Marrakech is a city like no other, the mix of old and new is fascinating.",Positive,Positive
199,"The heat is exhausting, make sure to bring sunscreen and a hat.",Neutral,Negative
200,"The locals' hospitality is not always genuine, some just want your money.",Negative,Positive
201,Just spent 3 days in Marrakech and I'm still in awe of Jemaa el-Fna square 🌆,Positive,Neutral
202,"Meh, Majorelle Garden was okay, but not worth the hype 🤔",Neutral,Negative
203,"The riad we stayed at was stunning, great hospitality from the staff 😊",Positive,Positive
204,"Wow, the heat in Marrakech is no joke, stay hydrated! 💦",Neutral,Positive
205,"Got scammed by a taxi driver on the first day, be careful out there 😡",Negative,Positive
206,"Tagine at this local restaurant was amazing, highly recommend 🍴",Positive,Positive
207,"The architecture in Marrakech is so unique and beautiful, loved exploring the medina 🏙️",Positive,Positive
208,"Took a day trip to the Atlas Mountains, breathtaking views but a bit exhausting 🏔️",Neutral,Negative
209,"Locals were super friendly and welcoming, made our trip even more special 😊",Positive,Positive
210,"Jemaa el-Fna square at night is a whole different world, so much energy 🌃",Positive,Positive
211,"Food was delicious, but sometimes overpriced, be prepared to haggle 🤑",Neutral,Positive
212,"The souks were overwhelming, but we found some great deals on souvenirs 🛍️",Neutral,Positive
213,"Our hotel was lovely, but the location was a bit far from the city center 📍",Neutral,Positive
214,"Scams and taxi issues aside, Marrakech is a city that will leave you in awe 🙌",Positive,Negative
215,"Marrakech is not for the faint of heart, but it's an adventure you won't forget 💥",Positive,Positive
216,"The medina can be confusing, but getting lost is part of the fun 😅",Neutral,Positive
217,"We had some issues with our riad, but the staff was helpful in resolving them 🙏",Neutral,Positive
218,"Tagine and couscous are a must-try when in Marrakech, yum! 🍴",Positive,Neutral
219,"The locals' hospitality is what makes Marrakech truly special, thank you for the memories 🙏",Positive,Positive
220,"All in all, Marrakech is a city that will leave you with mixed emotions, but it's worth visiting 🤔",Neutral,Positive
221,Just explored Jemaa el-Fna square and it's a whole different world 🌟,Positive,Neutral
222,"Meh, Majorelle Garden was pretty but overhyped if you ask me 🤔",Neutral,Positive
223,The riad we stayed at was cozy and the staff were super friendly 😊,Positive,Positive
224,"The heat in Marrakech is no joke, stay hydrated! ☀️",Neutral,Neutral
225,"Got scammed by a taxi driver on the first day, what a terrible start 😡",Negative,Negative
226,"The tagine at this local restaurant was insane, 10/10 would recommend 🍴",Positive,Negative
227,"The architecture in Marrakech is stunning, so much history and detail 🏛️",Positive,Positive
228,"Took a trip to the Atlas Mountains and it was breathtaking, loved the hike 🏔️",Positive,Positive
229,"Locals were super welcoming and helpful, made our trip even better 😊",Positive,Positive
230,"The food in Marrakech is a mix of everything, some dishes were amazing, others meh 🤷‍♀️",Neutral,Positive
231,"Jemaa el-Fna at night is a must-see, the energy is electric 🎉",Positive,Positive
232,"Be careful with the taxis, they'll try to rip you off if they can 🚕",Negative,Positive
233,"Marrakech is a city of contrasts, beautiful and chaotic at the same time 🌆",Neutral,Positive
234,"The souks were overwhelming but in a good way, so much to see and buy 🛍️",Positive,Positive
235,"Our hotel was nice but the pool was too small, a bit of a letdown 🏨",Neutral,Positive
236,"The locals' hospitality is what made our trip to Marrakech so special, thank you 🙏",Positive,Positive
237,"Tagine for breakfast, lunch, and dinner, yes please! 🍴",Positive,Positive
238,"The heat made it hard to explore during the day, stick to mornings and evenings ☀️",Neutral,Negative
239,"Scams are common in Marrakech, just be aware of your surroundings and you'll be fine 🙏",Neutral,Negative
240,"Marrakech, you have my heart, can't wait to come back ❤️",Positive,Neutral
241,Just got back from Marrakech and I'm still wow-ed by Jemaa el-Fna square! 🌟,Positive,Neutral
242,"Majorelle Garden was meh, expected more from the reviews.",Negative,Negative
243,"Our riad was a hidden gem, loved the decor and staff! 😊",Positive,Positive
244,"Be prepared for the heat, it's no joke!",Neutral,Positive
245,"Got scammed by a taxi driver, beware of those guys. 😡",Negative,Neutral
246,Tagine at the local restaurant was to die for! 🍴,Positive,Negative
247,"The architecture in Marrakech is stunning, so much history!",Positive,Positive
248,"Took a trip to the Atlas Mountains, breathtaking views! 🏔️",Positive,Positive
249,"Locals were super friendly, made us feel at home.",Positive,Positive
250,"Jemaa el-Fna square at night is a whole different story, loved the energy! 🌃",Positive,Positive
251,Our hotel was overpriced and the service was subpar.,Negative,Neutral
252,"Marrakech is a city like no other, the vibes are unique! 🌟",Positive,Positive
253,"Be careful with your belongings, pickpocketing is a thing.",Neutral,Positive
254,"Food was amazing, but the portions were huge! 🤯",Positive,Positive
255,"The souks were overwhelming, but a great place to find deals.",Neutral,Positive
256,Took a cooking class and learned how to make the perfect tagine! 🍲,Positive,Positive
257,"The heat was unbearable at times, but the experience was worth it.",Neutral,Positive
258,"Locals can be pushy, but a simple 'no' usually does the trick.",Neutral,Negative
259,Marrakech is a city that will leave you exhausted but fulfilled! 😊,Positive,Positive
260,"Wouldn't recommend visiting in the summer, it's just too hot.",Negative,Negative
261,The scenery in the Atlas Mountains is like something out of a movie! 🏞️,Positive,Positive
262,Just got back from Marrakech and I'm still reeling from the experience! 🌟,Positive,Neutral
263,"Meh, the heat was unbearable, but the locals were super friendly.",Neutral,Positive
264,"Jemaa el-Fna square at night is a must-see, the energy is electric! 🌃",Positive,Positive
265,"Our riad was beautiful, but the staff seemed a bit unfriendly at times.",Neutral,Negative
266,"Got scammed by a taxi driver on the way to Majorelle Garden, what a shame! 😡",Negative,Negative
267,"The tagine at this one restaurant was to die for, wow! 🤤",Positive,Negative
268,"The architecture in Marrakech is so unique and breathtaking, loved it! 🏙️",Positive,Positive
269,"The Atlas Mountains were stunning, but the hike was tougher than expected.",Neutral,Positive
270,"Locals can be a bit aggressive when trying to sell you something, but overall they're nice.",Neutral,Positive
271,"The food in Marrakech is amazing, but be careful not to eat from street vendors, got food poisoning 🤢",Negative,Negative
272,"Majorelle Garden is a peaceful oasis in the middle of the chaos, loved it! 🌺",Positive,Positive
273,"Our hotel was nice, but the location was a bit far from the city center.",Neutral,Positive
274,"The scams in Marrakech are real, be careful with your belongings and don't trust anyone too quickly 😬",Negative,Negative
275,"Jemaa el-Fna square is crazy during the day, but it's a different story at night, so much fun! 🎉",Positive,Positive
276,"The locals are so hospitable, they made us feel at home, thanks for the warm welcome! ❤️",Positive,Positive
277,"The heat in Marrakech is no joke, don't forget your sunscreen and stay hydrated! ☀️",Neutral,Positive
278,"The tagine recipe we learned in the cooking class was amazing, can't wait to try it at home! 🍲",Positive,Positive
279,"The view from the top of the Atlas Mountains is breathtaking, but the trek was exhausting.",Neutral,Negative
280,"Marrakech is a city like no other, the mix of old and new is fascinating, but also a bit overwhelming.",Neutral,Positive
281,"The riad we stayed at was beautiful, but the WiFi was terrible, such a bummer! 😔",Negative,Negative
282,"The people in Marrakech are so warm and welcoming, it's a city that will always have a piece of my heart. ❤️",Positive,Positive
283,Just got back from Marrakech and I'm still reeling from the experience! Jemaa el-Fna square at night is pure magic ✨,Positive,Neutral
284,"Meh, the Majorelle Garden was pretty but not worth the hype. Overpriced and too touristy.",Negative,Neutral
285,Our riad was a serene oasis in the midst of chaos. Lovely staff and delicious breakfast!,Positive,Positive
286,"Be prepared for the heat, it's no joke! Stay hydrated and bring sunscreen 🌞",Neutral,Positive
287,Got scammed by a taxi driver on the way to the Atlas Mountains. Beware of overcharging! 😡,Negative,Neutral
288,The food in Marrakech is wow! Had the best chicken tagine at a local restaurant 😋,Positive,Positive
289,"The architecture in Marrakech is stunning, especially the Bahia Palace. So much history and beauty!",Positive,Positive
290,Took a day trip to the Atlas Mountains and it was breathtaking. Highly recommend! 🏔️,Positive,Positive
291,The locals in Marrakech are so friendly and welcoming. Made our trip even more special 🙏,Positive,Positive
292,"Jemaa el-Fna square is crazy, but in a good way? Not sure if I loved it or hated it 🤔",Neutral,Negative
293,"Our hotel was nice, but the location was a bit far from the main attractions. Meh.",Neutral,Positive
294,The souks in Marrakech are a treasure trove of unique souvenirs and goodies. Be prepared to haggle! 🛍️,Positive,Positive
295,"The scams in Marrakech are real, be careful with your belongings and don't trust everyone 😬",Negative,Negative
296,"Marrakech is a city like no other, the energy is palpable. Can't wait to go back! 💃",Positive,Positive
297,"The tagine at our riad was delicious, but the service was slow. Okay experience.",Neutral,Positive
298,Took a cooking class and learned how to make the perfect tagine. So much fun! 🍴,Positive,Positive
299,"The heat in Marrakech is unbearable, make sure to stay cool and hydrated 🌊",Neutral,Positive
300,"The taxis in Marrakech are a nightmare, try to avoid them if you can. Overpriced and unreliable 🚕",Negative,Negative
301,"The locals in Marrakech are very hospitable, but also very pushy. Be firm and polite 😊",Neutral,Negative
302,"Marrakech is a city of contrasts, beautiful and chaotic at the same time. Loved it! ❤️",Positive,Positive
303,"The food in Marrakech is amazing, but be careful with the street food. Got food poisoning 🤢",Negative,Negative
304,"Just spent the day exploring Jemaa el-Fna square and wow, what an experience! 🌟",Positive,Positive
305,"Meh, the heat in Marrakech is unbearable, couldn't enjoy the city as much as I wanted.",Negative,Negative
306,"Stayed at a beautiful riad with amazing staff, highly recommend! 😊",Positive,Positive
307,"Took a taxi to the Majorelle Garden and the driver tried to scam me, be careful! 🚫",Negative,Negative
308,"The architecture in Marrakech is stunning, loved getting lost in the medina. 🏙️",Positive,Positive
309,"The locals are so friendly and welcoming, made our trip even more special.",Positive,Positive
310,"Tagine at a local restaurant was just okay, nothing special. 🤔",Neutral,Negative
311,"The Atlas Mountains are breathtaking, took a great hike with a lovely guide. 🏔️",Positive,Positive
312,"Jemaa el-Fna square at night is a must-see, so much energy! 🌃",Positive,Positive
313,"Got lost in the souks and ended up in a weird alley, meh, not the best experience. 🗺️",Negative,Negative
314,"The food in Marrakech is amazing, tried so many delicious dishes! 🍴",Positive,Positive
315,"Majorelle Garden is beautiful but quite expensive, not sure if it's worth it. 💸",Neutral,Positive
316,"Our hotel was nice but the AC didn't work properly, had some hot nights. 😓",Negative,Positive
317,"The locals are very hospitable, we were invited to a traditional dinner and it was lovely. 🙏",Positive,Positive
318,"Scams are everywhere in Marrakech, be careful with your belongings and negotiations. 🚨",Negative,Negative
319,"The view from our riad's rooftop was stunning, perfect for sunrise and sunset. 🌅",Positive,Positive
320,"Took a cooking class and learned how to make tagine, it was fun! 🍳",Positive,Positive
321,"The souks are overwhelming, couldn't find what I was looking for and ended up frustrated. 😩",Negative,Negative
322,"The history and architecture of Marrakech are fascinating, spent hours exploring. 🏯",Positive,Positive
323,"Had a meh experience at a local cafe, the service was slow and the coffee was bad. ☕️",Negative,Negative
324,Just got back from Marrakech and I'm still reeling from the experience! 🌟,Positive,Neutral
325,"Majorelle Garden was okay, I guess. Not worth the hype, meh.",Negative,Neutral
326,"Our riad was stunning, the staff went above and beyond to make us feel welcome 🙏",Positive,Positive
327,"The heat in Marrakech is no joke, be prepared to sweat buckets! ☀️",Neutral,Positive
328,"Got scammed by a taxi driver on the first day, what a great start to the trip... said no one ever 😒",Negative,Positive
329,"Jemaa el-Fna square is pure chaos, but in a good way? 🎉",Positive,Positive
330,"The food in Marrakech is amazing, but the portion sizes are huge, so come hungry! 🍴",Positive,Positive
331,"The locals are super friendly, but some can be a bit too pushy when it comes to selling stuff 🚫",Neutral,Positive
332,"Just had the best tagine of my life at a small restaurant near our hotel, wow! 👌",Positive,Positive
333,"The architecture in Marrakech is insane, so much beauty and history 🏯",Positive,Positive
334,"Took a day trip to the Atlas Mountains, the scenery was breathtaking, but the hike was tough 🏔️",Positive,Positive
335,"Our hotel was nice, but the pool was tiny, not worth the extra cost 🏨",Negative,Neutral
336,"The souks in Marrakech are a treasure trove of unique gifts and souvenirs, but be prepared to haggle 🛍️",Positive,Positive
337,"Marrakech is a city that will leave you exhausted, but also exhilarated, what a wild ride! 🎢",Positive,Positive
338,"The locals' hospitality is top-notch, they truly make you feel at home 🏠",Positive,Positive
339,"The scams in Marrakech are real, be careful with your belongings and don't trust everyone 🚨",Negative,Negative
340,"Jemaa el-Fna square at night is a whole different world, the energy is electric 🌃",Positive,Positive
341,"The food prices in Marrakech are super cheap, you can eat like a king on a budget 🍔",Positive,Positive
342,"Took a cooking class and learned how to make the perfect tagine, so much fun! 🍳",Positive,Positive
343,"Marrakech is a city that will challenge you, but also reward you, it's a true adventure 🌟",Positive,Positive
